Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.542978,-69.815745,90.0,top
BUZZER1,149.65,-97.71,0.0,bottom
SW1,133.263096,-122.5,0.0,top
SW2,150.772978,-124.022245,0.0,top
SW3,167.5,-122.5,0.0,top
U1,150.772978,-128.022245,270.0,bottom
U2,149.997978,-99.618245,0.0,top
